games, numTurns, whoWon, yourStrat, CardsInDeck
267,7,player 1,opp Guess,24
268,19,player 1,opp Guess,0
269,19,player 1,opp Guess,0
270,11,player 2,opp Guess,16
271,19,player 1,opp Guess,0
272,19,player 1,opp Guess,0
273,19,player 1,opp Guess,0
274,19,player 1,opp Guess,0
275,7,player 2,opp Guess,24
276,19,player 2,opp Guess,0
277,18,player 1,opp Guess,2
278,19,player 2,opp Guess,0
279,19,player 1,opp Guess,0
280,13,player 1,opp Guess,12
281,19,player 2,opp Guess,0
282,19,player 2,opp Guess,0
283,19,player 1,opp Guess,0
284,19,player 2,opp Guess,0
285,6,player 2,opp Guess,26
286,19,player 2,opp Guess,0
287,15,player 1,opp Guess,8
288,19,player 1,opp Guess,0
289,11,player 2,opp Guess,16
290,14,player 2,opp Guess,10
291,19,player 2,opp Guess,0
292,19,player 2,opp Guess,0
293,19,player 2,opp Guess,0
294,9,player 2,opp Guess,20
295,8,player 2,opp Guess,22
296,13,player 2,opp Guess,12
297,7,player 2,opp Guess,24
298,8,player 2,opp Guess,22
299,19,player 1,opp Guess,0
300,19,player 2,opp Guess,0
301,18,player 2,opp Guess,2
302,19,player 2,opp Guess,0
303,19,player 2,opp Guess,0
304,19,player 2,opp Guess,0
305,14,player 2,opp Guess,10
306,16,player 2,opp Guess,6
307,7,player 2,opp Guess,24
308,18,player 2,opp Guess,2
309,6,player 2,opp Guess,26
310,9,player 2,opp Guess,20
311,19,player 2,opp Guess,0
312,19,player 2,opp Guess,0
313,19,player 2,opp Guess,0
314,19,player 2,opp Guess,0
315,19,player 2,opp Guess,0
316,10,player 2,opp Guess,18
317,5,player 2,opp Guess,28
318,19,player 1,opp Guess,0
319,19,player 1,opp Guess,0
320,6,player 2,opp Guess,26
321,19,player 2,opp Guess,0
322,6,player 1,opp Guess,26
323,19,player 1,opp Guess,0
324,10,player 2,opp Guess,18
325,9,player 2,opp Guess,20
326,16,player 2,opp Guess,6
327,11,player 2,opp Guess,16
328,4,player 2,opp Guess,30
329,19,player 2,opp Guess,0
330,5,player 2,opp Guess,28
331,8,player 2,opp Guess,22
332,19,player 2,opp Guess,0
333,19,player 1,opp Guess,0
334,19,player 2,opp Guess,0
335,11,player 2,opp Guess,16
336,19,player 2,opp Guess,0
337,11,player 2,opp Guess,16
338,19,player 1,opp Guess,0
339,19,player 1,opp Guess,0
340,19,player 2,opp Guess,0
341,19,player 2,opp Guess,0
342,10,player 2,opp Guess,18
343,19,player 2,opp Guess,0
344,7,player 1,opp Guess,24
345,15,player 1,opp Guess,8
346,19,player 1,opp Guess,0
347,19,player 2,opp Guess,0
348,7,player 2,opp Guess,24
349,7,player 2,opp Guess,24
350,18,player 2,opp Guess,2
351,19,player 2,opp Guess,0
352,19,player 2,opp Guess,0
353,19,player 2,opp Guess,0
354,19,player 1,opp Guess,0
355,19,player 1,opp Guess,0
356,19,player 2,opp Guess,0
357,8,player 1,opp Guess,22
358,19,player 1,opp Guess,0
359,4,player 1,opp Guess,30
360,11,player 1,opp Guess,16
361,19,player 1,opp Guess,0
362,11,player 1,opp Guess,16
363,7,player 1,opp Guess,24
364,19,player 1,opp Guess,0
365,19,player 2,opp Guess,0
366,19,player 2,opp Guess,0
367,19,player 1,opp Guess,0
368,13,player 1,opp Guess,12
369,11,player 2,opp Guess,16
370,6,player 2,opp Guess,26
371,7,player 2,opp Guess,24
372,19,player 1,opp Guess,0
373,19,player 1,opp Guess,0
374,9,player 2,opp Guess,20
375,10,player 2,opp Guess,18
376,4,player 1,opp Guess,30
377,8,player 2,opp Guess,22
378,6,player 2,opp Guess,26
379,8,player 2,opp Guess,22
380,18,player 2,opp Guess,2
381,15,player 2,opp Guess,8
382,19,player 1,opp Guess,0
383,12,player 2,opp Guess,14
384,19,player 2,opp Guess,0
385,19,player 1,opp Guess,0
386,7,player 2,opp Guess,24
387,16,player 2,opp Guess,6
388,8,player 2,opp Guess,22
389,5,player 2,opp Guess,28
390,6,player 1,opp Guess,26
391,3,player 2,opp Guess,32
392,5,player 1,opp Guess,28
393,9,player 2,opp Guess,20
394,8,player 1,opp Guess,22
395,4,player 1,opp Guess,30
396,14,player 2,opp Guess,10
397,6,player 2,opp Guess,26
398,2,player 2,opp Guess,34
399,5,player 2,opp Guess,28
400,19,player 2,opp Guess,0
401,19,player 2,opp Guess,0
402,19,player 2,opp Guess,0
403,12,player 2,opp Guess,14
404,4,player 2,opp Guess,30
405,7,player 1,opp Guess,24
406,8,player 2,opp Guess,22
407,5,player 2,opp Guess,28
408,17,player 2,opp Guess,4
409,8,player 1,opp Guess,22
410,15,player 1,opp Guess,8
